playerName,playerId,teamName,teamId,primaryPosition,positionGroup,minutesPlayed,averageBallPossession,totalShots,inaccuratePasses,dispossessed,unsuccessfulDribbles,keyPasses,assists,expectedAssists,goals,expectedGoals,marketValue,PEA,PEA/90,total_sca,direct_sca,secondary_sca,direct_pass_sca,direct_balltouch_sca,direct_foul_sca,direct_takeon_sca,direct_cornerawarded_sca,direct_savedshot_sca,direct_shotonpost_sca,direct_goodskill_sca,secondary_pass_sca,secondary_balltouch_sca,secondary_foul_sca,secondary_takeon_sca,secondary_cornerawarded_sca,secondary_savedshot_sca,secondary_shotonpost_sca,secondary_goodskill_sca,SCA/90,adjPEA/90,adjSCA/90,usageRate,attackingInvolvement,teamTotalPEA,teamTotalSCA,RCE
Levi Colwill,996911,Chelsea,38,DC,Centerback,225,57.74,0,19,1,0,0,0,0.11,0,0.0,55000000.0,20,8.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,6.93,0.35,0.006,0.001,3277,697,0.167
Iliman Ndiaye,914309,Everton,48,LW,Winger,2786,43.63,43,151,64,61,30,3,4.41,6,6.71,53000000.0,319,10.31,63,39.0,24.0,30.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.04,11.82,2.34,0.091,0.11,3490,575,1.209
Michael Kayode,1137431,Brentford,50,DR,Fullback,3264,47.61,9,171,31,52,36,1,2.8,1,1.18,39000000.0,263,7.25,58,34.0,24.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.6,7.61,1.68,0.071,0.112,3707,519,1.577
Mohammed Kudus,905163,Tottenham Hotspur,33,RW,Winger,1545,50.37,26,64,54,50,25,5,2.4,2,1.93,54000000.0,194,11.3,39,23.0,16.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.27,11.22,2.25,0.054,0.068,3597,571,1.259
Maxim De Cuyper,997152,Brighton & Hove Albion,30,DL,Fullback,1443,54.08,13,109,5,10,33,3,4.13,2,1.82,21000000.0,137,8.54,41,33.0,8.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,7.9,2.37,0.037,0.06,3682,680,1.622
Mason Mount,836694,Manchester United,35,AM,Midfielder,1018,51.79,19,79,15,10,14,0,1.62,3,1.5,23000000.0,123,10.87,29,13.0,16.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.56,10.49,2.47,0.033,0.035,3756,834,1.061
Sean Longstaff,866191,Leeds United,34,MC,Midfielder,1046,45.74,16,69,12,5,25,2,1.91,2,1.25,14400000.0,102,8.78,32,25.0,7.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,9.6,3.01,0.029,0.055,3578,580,1.897
Sander Berge,793167,Fulham,43,MC,Midfielder,2911,51.71,15,176,20,12,21,1,1.5,0,1.54,26000000.0,223,6.89,50,25.0,25.0,22.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.55,6.66,1.5,0.062,0.074,3626,674,1.194
Sepp van den Berg,924378,Brentford,50,DC,Centerback,2761,47.61,23,163,4,0,7,2,1.49,0,3.13,33000000.0,190,6.19,14,6.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,6.5,0.48,0.051,0.027,3707,519,0.529
Lewis Cook,548188,Bournemouth,60,MC,Midfielder,905,50.18,3,69,3,1,11,1,0.54,0,0.08,11600000.0,76,7.56,19,10.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,7.53,1.88,0.02,0.031,3742,614,1.55
Yankuba Minteh,1400106,Brighton & Hove Albion,30,RW,Winger,2398,54.08,41,202,34,56,46,4,5.12,3,3.8,42000000.0,333,12.5,75,51.0,24.0,41.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.81,11.56,2.6,0.09,0.11,3682,680,1.222
Emiliano Buendía,783126,Aston Villa,40,LW,Winger,1784,53.55,49,122,35,20,30,2,2.29,6,3.42,14600000.0,226,11.4,45,32.0,13.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.27,10.64,2.12,0.069,0.067,3295,667,0.971
Antonee Robinson,803174,Fulham,43,DL,Fullback,1492,51.71,6,160,7,9,22,0,1.57,1,1.07,24000000.0,182,10.98,40,22.0,18.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.41,10.62,2.33,0.05,0.059,3626,674,1.18
Daichi Kamada,794338,Crystal Palace,7,MC,Midfielder,1908,45.92,19,132,16,12,20,0,3.24,0,1.65,10300000.0,179,8.44,42,21.0,21.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.98,9.19,2.16,0.048,0.074,3757,568,1.542
Richarlison,840217,Tottenham Hotspur,33,ST,Striker,1957,50.37,61,120,30,20,20,4,1.46,11,8.09,24000000.0,231,10.62,28,22.0,6.0,13.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.29,10.54,1.28,0.064,0.049,3597,571,0.766
Diogo Dalot,843200,Manchester United,35,DR,Fullback,2616,51.79,24,170,16,9,29,3,2.57,1,2.0,28000000.0,219,7.53,50,26.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.72,7.27,1.66,0.058,0.06,3756,834,1.034
Bernardo Silva,331209,Manchester City,17,MC,Midfielder,2890,60.5,30,216,34,28,47,4,4.08,2,2.56,21000000.0,308,9.59,93,46.0,47.0,43.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.9,7.93,2.4,0.074,0.102,4135,916,1.378
Emmanuel Agbadou,1013842,Wolverhampton,3,DC,Centerback,1101,42.82,10,112,5,1,4,0,0.4,0,0.56,16500000.0,128,10.46,10,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,12.21,0.96,0.04,0.021,3167,466,0.525
Florian Wirtz,1019322,Liverpool FC,44,AM,Midfielder,2388,59.21,51,220,36,35,61,3,5.17,5,7.03,95000000.0,342,12.89,112,64.0,48.0,59.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.22,10.88,3.56,0.09,0.128,3807,878,1.422
Noni Madueke,966547,Arsenal,42,RW,Winger,1226,56.13,26,98,17,32,22,1,2.83,3,1.22,54000000.0,173,12.7,39,25.0,14.0,21.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.86,11.31,2.55,0.048,0.052,3614,747,1.083
Ross Barkley,98435,Aston Villa,40,MC,Midfielder,865,53.55,18,50,16,7,10,1,1.35,3,1.51,3600000.0,91,9.47,22,11.0,11.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.29,8.84,2.14,0.028,0.033,3295,667,1.179
