player,total_sca,direct_sca,secondary_sca,direct_pass_sca,direct_balltouch_sca,direct_foul_sca,direct_takeon_sca,direct_cornerawarded_sca,direct_savedshot_sca,direct_shotonpost_sca,direct_goodskill_sca,secondary_pass_sca,secondary_balltouch_sca,secondary_foul_sca,secondary_takeon_sca,secondary_cornerawarded_sca,secondary_savedshot_sca,secondary_shotonpost_sca,secondary_goodskill_sca
Santiago Bueno,22,12,10,9,1,2,0,0,0,0,0,9,0,0,0,1,0,0,0
Sasa Lukic,41,25,16,24,1,0,0,0,0,0,0,14,0,2,0,0,0,0,0
Sean Longstaff,32,25,7,24,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0
Sebastiaan Bornauw,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Senne Lammens,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Sepp van den Berg,14,6,8,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Shea Lacey,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Simon Adingra,13,6,7,6,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0
Solly March,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Soungoutou Magassa,8,4,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Souza,4,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stefanos Tzimas,5,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sven Botman,10,7,3,5,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Sávio,29,11,18,9,0,0,2,0,0,0,0,14,0,1,0,3,0,0,0
Séamus Coleman,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwo Awoniyi,7,6,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Tammy Abraham,6,4,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Thierno Barry,18,12,6,8,3,0,1,0,0,0,0,3,1,0,0,2,0,0,0
Tijjani Reijnders,45,19,26,16,0,1,1,1,0,0,0,21,0,0,0,5,0,0,0
Tim Iroegbunam,24,10,14,6,1,1,2,0,0,0,0,13,0,1,0,0,0,0,0
Timothy Castagne,34,18,16,17,0,1,0,0,0,0,0,13,1,0,0,2,0,0,0
Tino Livramento,24,9,15,9,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
Tolu Arokodare,21,13,8,9,3,0,1,0,0,0,0,5,1,0,0,2,0,0,0
Tom Cairney,19,10,9,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Tomás Soucek,27,12,15,9,3,0,0,0,0,0,0,12,0,1,0,2,0,0,0
Tosin Adarabioyo,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Toti Gomes,9,6,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Trai Hume,38,25,13,24,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Trevoh Chalobah,16,5,11,5,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0
Trey Nyoni,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Tyler Adams,14,7,7,5,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Tyler Dibling,9,5,4,4,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
Tyrell Malacia,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tyrick Mitchell,55,30,25,28,0,0,2,0,0,0,0,21,0,1,0,3,0,0,0
Tyrique George,10,3,7,3,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0
Tyrone Mings,10,5,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Valentín Castellanos,21,12,9,12,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0
Veljko Milosavljevic,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Victor Lindelöf,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Viktor Gyökeres,41,21,20,15,2,1,2,1,0,0,0,11,2,2,0,5,0,0,0
Virgil van Dijk,33,10,23,8,2,0,0,0,0,0,0,21,1,0,0,0,1,0,0
Vitalii Mykolenko,46,19,27,18,1,0,0,0,0,0,0,26,0,1,0,0,0,0,0
Vitaly Janelt,27,18,9,18,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0
Wataru Endo,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Fofana,8,4,4,2,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0
Wilfried Gnonto,19,11,8,8,1,1,1,0,0,0,0,7,0,0,0,1,0,0,0
Will Hughes,35,23,12,21,0,1,1,0,0,0,0,11,0,1,0,0,0,0,0
William Osula,16,9,7,3,3,1,2,0,0,0,0,6,0,0,0,1,0,0,0
William Saliba,26,11,15,9,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0
Wilson Isidor,12,6,6,0,0,1,5,0,0,0,0,6,0,0,0,0,0,0,0
Wilson Odobert,35,17,18,15,0,0,2,0,0,0,0,17,0,0,0,0,1,0,0
Xavi Simons,58,43,15,35,1,3,2,1,0,1,0,12,0,1,0,1,1,0,0
Yankuba Minteh,75,51,24,41,3,1,6,0,0,0,0,18,1,0,0,5,0,0,0
